Entity,Code,Year,"International tourism, number of arrivals"
Kiribati,KIR,2018,9000
Kuwait,KWT,2018,8508000
Kyrgyzstan,KGZ,2018,6947000
Laos,LAO,2018,4186000
Latvia,LVA,2018,7775000
Lebanon,LBN,2018,1964000
Lesotho,LSO,2018,1173000
Liechtenstein,LIE,2018,85300
Lithuania,LTU,2018,6115000
Luxembourg,LUX,2018,1018000
Macao,MAC,2018,35804000
Madagascar,MDG,2018,360000
Malawi,MWI,2018,871000
Malaysia,MYS,2018,25832000
Maldives,MDV,2018,1484000
Mali,MLI,2018,203000
Malta,MLT,2018,3232000
Marshall Islands,MHL,2018,6800
Mauritius,MUS,2018,1431000
Mexico,MEX,2018,96497000
Micronesia (country),FSM,2018,19200
Moldova,MDA,2018,160000
Monaco,MCO,2018,347000
Mongolia,MNG,2018,598000
Montenegro,MNE,2018,2077000
Morocco,MAR,2018,12489000
Mozambique,MOZ,2018,2870000
Myanmar,MMR,2018,3551000
Namibia,NAM,2018,1639000
Nepal,NPL,2018,1173000
Netherlands,NLD,2018,18780000
New Caledonia,NCL,2018,120000
New Zealand,NZL,2018,3858000
Nicaragua,NIC,2018,1412000
Niger,NER,2018,157000
North Macedonia,MKD,2018,707000
Northern Mariana Islands,MNP,2018,518000
Norway,NOR,2018,5688000
Oman,OMN,2018,3242000
Palau,PLW,2018,106000
Palestine,PSE,2018,606000
Panama,PAN,2018,2487000
Papua New Guinea,PNG,2018,195000
Paraguay,PRY,2018,4183000
Peru,PER,2018,5384000
Philippines,PHL,2018,7168000
Poland,POL,2018,85946000
Portugal,PRT,2018,16186000
Puerto Rico,PRI,2018,4260000
Qatar,QAT,2018,1819000
Romania,ROU,2018,11720000
Russia,RUS,2018,24551000
Rwanda,RWA,2018,1711000
Saint Kitts and Nevis,KNA,2018,1278000
Saint Lucia,LCA,2018,1165000
Saint Vincent and the Grenadines,VCT,2018,356000
Samoa,WSM,2018,172000
San Marino,SMR,2018,1874000
Sao Tome and Principe,STP,2018,33400
Saudi Arabia,SAU,2018,17570000
Serbia,SRB,2018,1711000
Seychelles,SYC,2018,405000
Sierra Leone,SLE,2018,66000
Singapore,SGP,2018,18508000
Sint Maarten (Dutch part),SXM,2018,1775000
Slovakia,SVK,2018,15299000
Slovenia,SVN,2018,4425000
Solomon Islands,SLB,2018,27900
South Africa,ZAF,2018,15004000
South Korea,KOR,2018,15347000
Spain,ESP,2018,124456000
Sri Lanka,LKA,2018,2521000
Sudan,SDN,2018,836000
Sweden,SWE,2018,7440000
Switzerland,CHE,2018,11715000
Syria,SYR,2018,1802000
Tajikistan,TJK,2018,1035000
Tanzania,TZA,2018,1506000
Thailand,THA,2018,38178000
Timor,TLS,2018,74600
Togo,TGO,2018,573000
Tonga,TON,2018,77300
Trinidad and Tobago,TTO,2018,501000
Tunisia,TUN,2018,8299000
Turkey,TUR,2018,46113000
Turks and Caicos Islands,TCA,2018,1463000
Tuvalu,TUV,2018,3200
Uganda,UGA,2018,1506000
Ukraine,UKR,2018,14342000
United Arab Emirates,ARE,2018,23092000
United Kingdom,GBR,2018,40283000
United States,USA,2018,169324928
United States Virgin Islands,VIR,2018,1922000
Uruguay,URY,2018,3954000
Uzbekistan,UZB,2018,5346000
Vanuatu,VUT,2018,350200
Vietnam,VNM,2018,15498000
Zambia,ZMB,2018,1072000
Zimbabwe,ZWE,2018,2580000
